rank,category,feed_name,feed_url,quality_score,priority,rationale
1,01_Core_Labs_and_Model_Releases,OpenAI News,https://openai.com/news/rss.xml,10,P1,"Direct primary source; highest-impact model releases; 79 appearances in last 5 days of digests"
2,01_Core_Labs_and_Model_Releases,Google DeepMind Blog,https://deepmind.google/blog/feed/basic/,10,P1,"Direct primary source; frontier research and model announcements; 72 appearances in last 5 days"
3,01_Core_Labs_and_Model_Releases,Hugging Face Blog,https://huggingface.co/blog/feed.xml,10,P1,"Direct primary source; open-source model releases and tooling; 75 appearances; feeds Tool of the Day"
4,01_Core_Labs_and_Model_Releases,Google AI Blog,https://blog.google/technology/ai/rss/,9,P1,"Direct primary source; product and model launches; 60 appearances in last 5 days"
5,02_Editorial_and_News_Aggregators,The Verge AI,https://www.theverge.com/rss/ai-artificial-intelligence/index.xml,9,P1,"High-quality editorial coverage; 44 appearances; consistently surfaces breaking AI news"
6,02_Editorial_and_News_Aggregators,TechCrunch AI,https://techcrunch.com/category/artificial-intelligence/feed/,9,P1,"Strong startup and product coverage; 58 appearances; reliable and timely"
7,02_Editorial_and_News_Aggregators,MIT Technology Review AI,https://www.technologyreview.com/topic/artificial-intelligence/feed/,8,P1,"Deep analysis and long-form context; 28 appearances; high editorial quality"
8,02_Editorial_and_News_Aggregators,Ars Technica AI,https://arstechnica.com/ai/feed,8,P1,"Technical depth with editorial rigor; 24 appearances; good for infrastructure/hardware angle"
9,02_Editorial_and_News_Aggregators,WIRED AI,https://www.wired.com/feed/tag/ai/latest,8,P1,"Cultural and societal impact angle; 14 appearances; broad readership"
10,07_AI_Engineer_and_Newsletters,Latent.Space (AI Engineer),https://latent.space/feed,9,P1,"Top-tier practitioner newsletter; AINews posts proxy builder chatter; 2 appearances but high signal"
11,07_AI_Engineer_and_Newsletters,Simon Willison,https://simonwillison.net/atom/everything/,9,P1,"Highest-signal individual practitioner blog; agent/tooling commentary; excellent for builder news"
12,07_AI_Engineer_and_Newsletters,Interconnects AI,https://interconnects.ai/feed,8,P1,"Rohan's deep technical analysis; high-quality essays on model capabilities and alignment"
13,07_AI_Engineer_and_Newsletters,One Useful Thing,https://oneusefulthing.org/feed,8,P1,"Ethan Perez's monthly deep dives; high-quality research summaries"
14,07_AI_Engineer_and_Newsletters,Last Week in AI,https://lastweekin.ai/feed,7,P1,"Weekly AI news roundup; good for catching misses; 50 appearances in last 5 days"
15,01_Core_Labs_and_Model_Releases,Microsoft AI Blog,https://blogs.microsoft.com/ai/feed/,7,P2,"Direct primary source; Azure/OpenAI partnership updates; moderate frequency"
16,01_Core_Labs_and_Model_Releases,AWS ML Blog,https://aws.amazon.com/blogs/machine-learning/feed/,7,P2,"Direct primary source; SageMaker/Bedrock updates; enterprise ML angle"
17,01_Core_Labs_and_Model_Releases,Meta AI Blog,https://ai.meta.com/blog,7,P2,"Direct primary source; Llama releases and research; moderate frequency"
18,01_Core_Labs_and_Model_Releases,Anthropic News (unofficial mirror),https://rsshub.bestblogs.dev/anthropic/news,6,P2,"Important source but unofficial mirror; reliability risk; verify periodically"
19,03_Research_and_Papers,arXiv cs.AI,https://rss.arxiv.org/rss/cs.AI,9,P2,"Primary research source; high volume; best filtered by keyword to avoid noise"
20,03_Research_and_Papers,arXiv cs.LG,https://rss.arxiv.org/rss/cs.LG,9,P2,"Primary research source; high volume; complements cs.AI for ML-specific papers"
21,03_Research_and_Papers,Ahead of AI (Raschka),https://magazine.sebastianraschka.com/feed,8,P2,"Weekly practical ML engineering deep dives; high-quality practical content"
22,03_Research_and_Papers,Lilian Weng Blog,https://lilianweng.github.io/feed.xml,8,P2,"Comprehensive deep-learning explainers; low frequency but very high quality"
23,03_Research_and_Papers,The Gradient,https://thegradient.pub/rss/,7,P2,"Research commentary and interviews; moderate frequency"
24,03_Research_and_Papers,arXiv q-bio (bio+discovery),https://rss.arxiv.org/rss/cs.ai+q-bio.QM+q-bio.GN+q-bio.BM+q-bio.MN,7,P2,"Cross-disciplinary AI for biology; niche but valuable for science section"
25,04_Medical_and_Health_AI,Nature Machine Intelligence,https://www.nature.com/natmachintell.rss,9,P3,"Top-tier peer-reviewed journal; authoritative but low frequency"
26,04_Medical_and_Health_AI,PubMed AI+Medicine search,https://pubmed.ncbi.nlm.nih.gov/rss/?term=(%22artificial+intelligence%22%5BMeSH%5D),8,P3,"Comprehensive medical AI literature; high volume; useful for medical section"
27,04_Medical_and_Health_AI,Radiology: Artificial Intelligence,https://pubs.rsna.org/action/showFeed?type=etoc&feed=rss&jc=ai,7,P3,"Specialized radiology AI; niche but authoritative"
28,04_Medical_and_Health_AI,JMIR AI (feed via journal),https://ai.jmir.org/feed/atom,7,P3,"Peer-reviewed digital health AI; moderate frequency"
29,05_AI_for_Science,arXiv q-bio.QM,https://rss.arxiv.org/rss/q-bio.QM,7,P3,"Quantitative biology papers; niche; complements general q-bio feed"
30,05_AI_for_Science,arXiv q-bio.GN,https://rss.arxiv.org/rss/q-bio.GN,7,P3,"Genomics papers; niche; complements general q-bio feed"
31,05_AI_for_Science,BioML Digest,https://www.biomldigest.com/feed/,7,P3,"Curated bioml news; moderate volume; good for science section"
32,05_AI_for_Science,Microsoft Research AI for Science,https://www.microsoft.com/en-us/research/feed/,7,P3,"MSR research blog; broad scope; AI-for-science subset is small"
33,06_Incidents_Safety_Policy,AI Incident Database Blog,https://incidentdatabase.ai/blog/index.xml,8,P3,"Authoritative incident tracking; essential for safety/policy section"
